SEX,INSR_TYPE,INSURED_VALUE,PREMIUM,PROD_YEAR,SEATS_NUM,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID,DURATION,CLAIM_PAID_LOG
0,1202,1200000.0,23204.81,2007.0,61.0,61.0,Bus,3000.0,MERCEDES,Own service,40720.0,364,10.614499208879641
1,1202,2800000.0,32041.23,2010.0,1.0,155.9,Truck,12880.0,IVECO,General Cartage,199971.9,364,12.205937136349219
0,1202,270000.0,4550.19,2003.0,11.0,11.0,Bus,2779.0,TOYOTA,Own service,11300.0,364,9.332646496360152
0,1202,270000.0,4358.33,2003.0,11.0,11.0,Bus,2779.0,TOYOTA,Own service,32767.9,365,10.397235173842313
0,1202,511779.63,5903.12,2009.0,11.0,11.0,Bus,2494.0,TOYOTA,Own service,52000.0,364,10.859018228147887
0,1202,511779.63,6936.69,2009.0,11.0,11.0,Bus,2494.0,TOYOTA,Own service,75265.0,365,11.228783784594436
0,1202,800000.0,7846.71,2001.0,4.0,7.0,Pick-up,2779.0,TOYOTA,Own Goods,23000.0,364,10.043292972227004
0,1202,1661328.77,9570.22,2010.0,1.0,133.0,Truck,11596.0,HOWO,Own Goods,9350.0,364,9.143238568435446
0,1202,808502.68,5379.37,2009.0,4.0,7.0,Pick-up,2986.0,TOYOTA,Own Goods,19000.0,364,9.852246888342531
0,1202,808502.68,4512.84,2009.0,4.0,7.0,Pick-up,2986.0,TOYOTA,Own Goods,62001.07,364,11.034923050566666
0,1202,808502.68,5677.11,2009.0,4.0,7.0,Pick-up,2494.0,TOYOTA,Own Goods,5000.0,365,8.517393171418904
0,1202,808502.68,4192.38,2009.0,4.0,7.0,Pick-up,2494.0,TOYOTA,Own Goods,19999.99,364,9.903537051311044
0,1202,615403.52,9074.91,2008.0,25.0,0.0,Bus,4214.0,ROZA,Own service,30000.0,364,10.308985993422082
0,1202,615403.52,8284.56,2008.0,25.0,0.0,Bus,4214.0,ROZA,Own service,25300.0,364,10.138599199626192
0,1202,615403.52,10802.29,2008.0,25.0,0.0,Bus,4214.0,ROZA,Own service,17000.0,364,9.741027444837728
0,1202,615403.52,8649.97,2008.0,25.0,0.0,Bus,4214.0,ROZA,Own service,137420.0,365,11.830804485519732
0,1202,615403.52,6756.5,2008.0,25.0,0.0,Bus,4214.0,ROZA,Own service,36300.0,364,10.499600568082863
0,1202,615403.52,10809.19,2008.0,25.0,0.0,Bus,4214.0,ROZA,Own service,34100.0,365,10.43708198835482
0,1202,615403.52,8284.56,2008.0,25.0,0.0,Bus,4214.0,ROZA,Own service,18000.0,364,9.798182590890704
0,1202,1300000.0,15315.55,2008.0,4.0,6.0,Pick-up,2400.0,TOYOTA,Own Goods,38830.0,364,10.566974175677647
0,1202,1300000.0,15315.55,2008.0,4.0,6.0,Pick-up,2400.0,TOYOTA,Own Goods,34300.0,365,10.442929787247998
0,1202,234992.32,3359.77,2008.0,4.0,6.0,Pick-up,2400.0,TOYOTA,Own Goods,6956.52,364,8.847578367991675
0,1202,1300000.0,15320.55,2008.0,4.0,6.0,Pick-up,2400.0,TOYOTA,Own Goods,10925.0,365,9.298900548955663
0,1202,350000.0,5396.7,2004.0,11.0,11.0,Bus,1998.0,TOYOTA,Own service,100165.0,364,11.514584088693098
0,1202,400000.0,11947.84,2003.0,24.0,24.0,Bus,2000.0,MITSUBISHI,Own service,34500.0,364,10.448743588106625
0,1202,400000.0,8029.96,2003.0,24.0,24.0,Bus,2000.0,MITSUBISHI,Own service,20700.0,365,9.937937287265354
0,1202,650000.0,6990.98,2002.0,4.0,7.0,Pick-up,2774.0,TOYOTA,Own Goods,87391.3,364,11.378162457076035
0,1202,300725.0,4332.84,2002.0,4.0,7.0,Pick-up,2774.0,TOYOTA,Own Goods,26670.0,364,10.191332111786215
0,1201,600000.0,9008.69,2006.0,8.0,7.0,Station Wagones,4146.0,TOYOTA,Private,71898.4,364,11.183023198750814
0,1202,914000.0,17114.79,2011.0,8.0,0.0,Special construction,4164.0,INTERNATIONAL USE,Own service,19700.0,364,9.888424674859083
0,1202,1200000.0,9555.75,2010.0,4.0,7.0,Pick-up,2499.0,MAZDA,Own Goods,12500.0,364,9.433563920090563
0,1202,1200000.0,9555.75,2010.0,4.0,7.0,Pick-up,2499.0,MAZDA,Own Goods,27130.42,364,10.208447744865637
0,1202,1019999.98,7482.83,2010.0,4.0,7.0,Pick-up,2499.0,MAZDA,Own Goods,15873.18,364,9.672449168883496
1,1201,350000.0,4548.39,2003.0,4.0,0.0,Automobile,1300.0,TOYOTA,Private,140273.4,365,11.851355783297603
0,1201,930000.0,9283.14,2002.0,4.0,0.0,Station Wagones,2779.0,TOYOTA,Private,5610.0,364,8.632484235750972
0,1202,430679.8,21751.9,2008.0,26.0,0.0,Bus,4214.0,MITSUBISHI,Own service,26450.0,365,10.183049243755137
0,1201,1100000.0,13269.1,2007.0,8.0,0.0,Station Wagones,4169.0,NISSAN,Private,174596.3,365,12.070237458350546
0,1201,177554.0,2354.27,2006.0,4.0,0.0,Automobile,1995.0,SUZUKI,Private,120362.56,364,11.698272108239431
0,1202,1000000.0,11860.7,2003.0,22.0,22.0,Bus,4164.0,TOYOTA,Own service,105100.0,364,11.562677071567636
0,1202,1000000.0,24996.82,2003.0,22.0,22.0,Bus,4164.0,TOYOTA,Own service,65250.0,364,11.085996650738002
0,1201,350000.0,4648.15,2002.0,4.0,0.0,Automobile,1800.0,TOYOTA,Private,9775.0,364,9.187685681411377
0,1201,350000.0,4643.15,2002.0,4.0,0.0,Automobile,1800.0,TOYOTA,Private,135284.9,364,11.815145595868032
0,1202,450000.0,5773.45,2004.0,2.0,7.8,Pick-up,4164.0,TOYOTA,Own Goods,167720.58,364,12.030060621703003
0,1202,900000.0,10825.15,2005.0,4.0,7.0,Pick-up,4164.0,TOYOTA,Own Goods,16675.0,364,9.721725839000687
0,1201,940000.0,11444.69,2009.0,4.0,0.0,Station Wagones,4164.0,TOYOTA,Private,66115.0,364,11.099166054037244
0,1201,414628.98,5068.87,2008.0,4.0,0.0,Automobile,1600.0,NISSAN,Private,5750.0,364,8.657129031713755
0,1201,250000.0,3454.55,2001.0,4.0,0.0,Automobile,1300.0,MITSUBISHI,Private,16100.0,364,9.686636660844938
0,1201,1500000.0,8398.0,2006.0,8.0,0.0,Station Wagones,2500.0,TOYOTA,Private,31520.0,364,10.358409269356885
0,1202,400000.0,4866.12,2014.0,15.0,0.0,Bus,2494.0,TOYOTA,Fare Paying Passengers,36800.0,364,10.513280297700861
0,1201,318056.32,3792.45,2009.0,8.0,0.0,Station Wagones,2499.0,FORD,Private,51650.0,364,10.852264835444583
0,1201,318056.32,5284.76,2009.0,6.0,0.0,Automobile,2499.0,FORD,Private,15950.0,365,9.677276802172448
0,1201,318056.32,3601.721,2009.0,6.0,0.0,Automobile,2499.0,FORD,Private,27760.0,364,10.231387437026681
0,1201,2500000.0,27376.15,2009.0,6.0,0.0,Station Wagones,2986.0,TOYOTA,Private,35847.5,364,10.487057004148223
0,1202,1782948.0,20737.12,2006.0,4.0,6.3,Pick-up,2986.0,TOYOTA,Own Goods,25500.0,364,10.146472946063877
0,1202,700000.0,9343.13,2004.0,44.0,0.0,Bus,8071.0,DAEWOO,Own service,60500.0,364,11.010415172807951
0,1202,350000.0,5175.55,2002.0,11.0,0.0,Bus,1998.0,TOYOTA,Own service,16940.0,365,9.737491998340946
0,1202,197710.0,3465.94,2002.0,11.0,11.0,Bus,1998.0,TOYOTA,Own service,25300.0,364,10.138599199626192
0,1202,800000.0,11225.73,2002.0,9.0,0.0,Special construction,4164.0,INTERNATIONAL USE,Special Construction,60852.15,364,11.016218863715103
0,1202,684606.0,8931.84,2002.0,9.0,0.0,Special construction,4164.0,INTERNATIONAL USE,Special Construction,43965.22,364,10.691176890774168
0,1202,600000.0,8927.81,2008.0,12.0,12.0,Bus,2953.0,NISSAN,Own service,35095.66,364,10.465861248231114
0,1202,600000.0,8905.81,2009.0,11.0,11.0,Bus,2953.0,NISSAN,Own service,10000.0,364,9.210440366976517
0,1202,608695.65,5881.96,2012.0,4.0,7.0,Pick-up,1500.0,BISHOFTU,Own Goods,17657.92,364,9.778996317135011
0,1202,400000.0,3021.82,2005.0,4.0,7.0,Pick-up,4164.0,NISSAN,Own Goods,69599.99,364,11.15053407035928
0,1202,2000000.0,31018.4,2005.0,1.0,154.6,Truck,12880.0,IVECO,General Cartage,54800.0,364,10.911463720944793
0,1201,250000.0,3454.55,2001.0,4.0,0.0,Automobile,1300.0,MITSUBISHI,Private,35050.0,365,10.464559422726214
0,1201,1000000.0,12140.25,2000.0,8.0,0.0,Station Wagones,4164.0,NISSAN,Private,26000.0,364,10.165890277802454
0,1202,420000.0,5038.25,2002.0,4.0,7.5,Pick-up,2835.0,MITSUBISHI,Own Goods,47500.0,364,10.768506042432708
0,1201,450000.0,5635.35,2005.0,5.0,0.0,Automobile,4164.0,TOYOTA,Private,11110.0,364,9.315690887584008
0,1202,300000.0,4495.84,2006.0,12.0,12.0,Bus,2953.0,NISSAN,Own service,24380.0,364,10.101559419421314
0,1202,300000.0,3993.7,2006.0,12.0,12.0,Bus,2953.0,NISSAN,Own service,70890.76,364,11.16890948573794
0,1202,500000.0,9156.65,2006.0,12.0,12.0,Bus,2953.0,NISSAN,Own service,111810.88,364,11.624573095238496
0,1202,620128.0,20284.39,2006.0,1.0,81.4,Truck,15616.0,TATA,Own Goods,5000.0,364,8.517393171418904
0,1202,1099659.0,33143.45,2007.0,4.0,10.0,Pick-up,3153.0,NISSAN,Own Goods,33350.0,364,10.414843035901725
0,1202,1099659.0,33204.67,2007.0,4.0,10.0,Pick-up,3153.0,NISSAN,Own Goods,10800.0,364,9.287394001418473
0,1201,750000.0,5985.68,2000.0,8.0,0.0,Station Wagones,1587.0,NISSAN,Private,80270.0,364,11.293163689002427
0,1201,750000.0,10172.63,2000.0,8.0,0.0,Station Wagones,1587.0,NISSAN,Private,11583.0,364,9.357380114625498
0,1202,350000.0,4445.05,2001.0,4.0,6.0,Pick-up,2499.0,ISUZU,Own Goods,17250.0,364,9.755625391793744
0,1202,311317.0,2977.55,2005.0,2.0,10.0,Pick-up,2980.0,TOYOTA,Own Goods,12000.0,364,9.392745258631441
0,1201,1200000.0,14363.45,2003.0,7.0,0.0,Station Wagones,4164.0,TOYOTA,Private,20609.78,365,9.933569518874341
0,1201,700000.0,8753.25,2003.0,7.0,0.0,Station Wagones,4164.0,TOYOTA,Private,66105.0,364,11.099014793278535
0,1201,1200000.0,14363.45,2003.0,7.0,0.0,Station Wagones,4164.0,TOYOTA,Private,18000.0,365,9.798182590890704
0,1202,898803.23,10284.96,2009.0,4.0,7.0,Pick-up,3000.0,TOYOTA,Own Goods,45507.88,364,10.725662750732027
1,1202,600000.0,9368.6,2003.0,1.0,141.9,Pick-up,2494.0,TOYOTA,General Cartage,183885.0,365,12.12207127936389
0,1201,408312.0,6050.72,2003.0,10.0,0.0,Station Wagones,4164.0,TOYOTA,Private,151833.79,364,11.930548300820929
0,1202,600000.0,5501.19,2005.0,2.0,96.3,Truck,7412.0,NISSAN UD,Own Goods,11071.3,364,9.3122017728661
0,1202,181975.0,3593.74,2005.0,2.0,96.3,Truck,7412.0,NISSAN UD,Own Goods,11000.0,365,9.305741456739435
0,1201,239260.54,3506.03,2005.0,4.0,0.0,Station Wagones,4164.0,TOYOTA,Private,43400.0,364,10.6782377612977
0,1202,620000.0,20094.88,2000.0,1.0,68.5,Truck,5184.0,IVECO,Own Goods,12650.0,365,9.44549154241467
0,1201,465472.0,3352.99,2001.0,8.0,0.0,Station Wagones,4164.0,TOYOTA,Private,17875.0,365,9.791214310053341
0,1201,500000.0,7563.67,2006.0,8.0,8.0,Special construction,4164.0,INTERNATIONAL USE,Special Construction,9400.0,365,9.148571345578551
0,1202,500000.0,11837.85,2007.0,8.0,8.0,Special construction,4164.0,INTERNATIONAL USE,Special Construction,5750.0,364,8.657129031713755
0,1202,500000.0,8063.0,2007.0,8.0,8.0,Special construction,4164.0,INTERNATIONAL USE,Special Construction,60619.42,364,11.012387078994259
0,1202,300000.0,4614.25,2003.0,11.0,0.0,Bus,1998.0,TOYOTA,Own service,14950.0,365,9.612533466213927
1,1201,300000.0,2820.68,2001.0,4.0,0.0,Automobile,1783.0,VOLVO,Private,21521.74,364,9.976865329590856
0,1201,272183.0,1927.71,2008.0,4.0,0.0,Automobile,1498.0,CHEVROLET,Private,67845.64,364,11.125005143034599
1,1201,756027.0,4436.64,2003.0,6.0,0.0,Station Wagones,2986.0,TOYOTA,Private,14457.02,364,9.57900455687648
0,1201,550000.0,6498.95,2008.0,4.0,0.0,Automobile,1299.0,TOYOTA,Private,10350.0,364,9.24483841238375
0,1201,550000.0,6822.35,2008.0,4.0,0.0,Automobile,1299.0,TOYOTA,Private,89950.0,364,11.407020356604264
0,1201,900000.0,11049.5,2002.0,9.0,0.0,Station Wagones,4164.0,TOYOTA,Private,19550.0,364,9.88078171500049
0,1201,400000.0,4903.25,2003.0,4.0,0.0,Automobile,1299.0,TOYOTA,Private,6325.0,364,8.752423403865594
1,1202,1610000.0,8101.95,2004.0,2.0,155.0,Truck,13795.0,FIAT,General Cartage,219000.0,181,12.296831574998258
1,1202,1600000.0,20798.82,2005.0,2.0,156.5,Truck,13798.0,IVECO,General Cartage,187605.12,364,12.142099937623435
0,1201,786801.0,10727.23,2002.0,8.0,0.0,Station Wagones,4164.0,TOYOTA,Private,10000.0,364,9.210440366976517
0,1202,1000000.0,11869.06,2007.0,4.0,7.0,Pick-up,3153.0,NISSAN,Own Goods,28807.85,364,10.26843791058629
0,1201,189462.0,4566.25,2007.0,4.0,0.0,Station Wagones,2835.0,MITSUBISHI,Private,13245.0,364,9.491450899044924
0,1202,507178.47,8211.64,2007.0,25.0,0.0,Bus,4214.0,MITSUBISHI,Own service,144030.0,364,11.87778383316698
0,1201,350000.0,4380.7,2003.0,4.0,0.0,Automobile,1299.0,TOYOTA,Private,35600.0,364,10.480129006333248
0,1201,302900.0,4048.41,2003.0,4.0,0.0,Automobile,1299.0,TOYOTA,Private,15000.0,365,9.61587214452889
0,1201,850000.0,10434.35,2000.0,7.0,0.0,Station Wagones,4164.0,TOYOTA,Private,117623.92,365,11.675256196759925
0,1202,500000.0,11128.39,2008.0,8.0,0.0,Special construction,4164.0,INTERNATIONAL USE,Own service,725.0,364,6.587550014824796
0,1202,347706.0,7689.71,2008.0,8.0,0.0,Special construction,4164.0,INTERNATIONAL USE,Own service,27687.55,365,10.228774249318988
0,1202,800000.0,9702.55,2008.0,4.0,6.0,Pick-up,3153.0,NISSAN,Own Goods,36523.88,365,10.505748951192558
0,1202,565000.0,7768.43,2008.0,4.0,6.0,Pick-up,3153.0,NISSAN,Own Goods,17667.43,364,9.779534710206086
2,1202,850000.0,19461.43,2005.0,2.0,0.0,Truck,8226.0,ISUZU,General Cartage,13244.79,364,9.491435045076582
0,1202,700000.0,8579.95,2003.0,4.0,7.2,Pick-up,2779.0,TOYOTA,Own Goods,23600.0,364,10.069044362997353
0,1202,350000.0,7038.65,2003.0,12.0,0.0,Bus,2446.0,TOYOTA,Own service,26450.0,364,10.183049243755137
0,1201,200000.0,2387.11,2005.0,4.0,0.0,Automobile,1086.0,KIA,Private,11280.35,365,9.330906198741932
0,1202,430000.0,5548.93,2001.0,4.0,7.0,Pick-up,2464.0,TOYOTA,Own Goods,4002.0,364,8.294799358992574
0,1201,759942.37,11388.45,2003.0,8.0,0.0,Station Wagones,4164.0,TOYOTA,Private,152260.0,364,11.933351432551758
0,1201,759942.37,7205.41,2003.0,8.0,0.0,Station Wagones,4164.0,TOYOTA,Private,15376.32,365,9.64064897560026
0,1201,246232.22,4335.65,2000.0,4.0,0.0,Automobile,1597.0,MITSUBISHI,Private,45400.0,364,10.723289410218579
0,1201,267975.0,3468.7,2006.0,4.0,0.0,Automobile,1299.0,TOYOTA,Private,13538.95,364,9.513399853697262
0,1201,267975.0,4180.92,2006.0,4.0,0.0,Automobile,1299.0,TOYOTA,Private,5000.0,364,8.517393171418904
0,1201,201916.0,3235.91,2007.0,4.0,0.0,Automobile,1299.0,TOYOTA,Private,11000.0,364,9.305741456739435
0,1201,201916.0,2595.68,2007.0,4.0,0.0,Automobile,1299.0,TOYOTA,Private,8150.0,365,9.005895898094458
0,1202,1400000.0,32364.46,2006.0,60.0,0.0,Bus,5958.0,MERCEDES,Own service,49082.66,365,10.801281468171624
0,1202,1500000.0,22665.56,2006.0,60.0,0.0,Bus,5958.0,MERCEDES,Own service,171139.22,364,12.050238499468474
0,1201,500000.0,6532.25,2000.0,8.0,0.0,Station Wagones,4164.0,TOYOTA,Private,11137.27,364,9.318142205191764
0,1201,1100000.0,13262.85,2000.0,8.0,0.0,Station Wagones,4164.0,TOYOTA,Private,252531.42,365,12.43929491549509
0,1201,700000.0,8775.25,2000.0,8.0,0.0,Station Wagones,4164.0,TOYOTA,Private,2875.0,364,7.964155718840937
0,1202,180000.0,6099.6,2003.0,11.0,0.0,Bus,2779.0,TOYOTA,Own service,14950.0,364,9.612533466213927
0,1201,940000.0,11444.69,2009.0,7.0,0.0,Station Wagones,4164.0,TOYOTA,Private,17000.0,364,9.741027444837728
0,1201,520000.0,6485.57,2009.0,4.0,0.0,Automobile,1600.0,TOYOTA,Private,141320.0,364,11.858789177587305
0,1201,1400000.0,15829.45,2006.0,9.0,0.0,Station Wagones,4164.0,TOYOTA,Private,22600.0,364,10.025749432069084
0,1201,250000.0,8057.465,2008.0,4.0,7.0,Automobile,1300.0,TOYOTA,Private,17250.0,365,9.755625391793744
0,1201,250000.0,7632.525,2008.0,4.0,7.0,Automobile,1300.0,TOYOTA,Private,65000.0,364,11.082157933374816
1,1202,600000.0,16329.6,2003.0,1.0,0.0,Truck,8226.0,ISUZU,General Cartage,89902.76,365,11.406495043834267
0,1202,550000.0,6357.83,2005.0,8.0,6.0,Station Wagones,2986.0,TOYOTA,Private,8800.0,364,9.082620630373812
0,1202,914000.0,22277.92,2012.0,8.0,0.0,Special construction,4164.0,INTERNATIONAL USE,Own service,48876.8,364,10.797078584649272
0,1202,914000.0,27582.98,2012.0,8.0,0.0,Special construction,4164.0,INTERNATIONAL USE,Own service,116215.63,364,11.663211228478344
0,1202,914000.0,20644.87,2012.0,8.0,0.0,Special construction,4164.0,INTERNATIONAL USE,Own service,158397.0,365,11.972866132020124
0,1202,950000.0,11391.45,2007.0,4.0,6.0,Pick-up,3153.0,NISSAN,Own Goods,61223.6,365,11.022304348520137
0,1201,215606.21,3525.64,2004.0,7.0,0.0,Station Wagones,2664.0,NISSAN,Private,14760.22,364,9.599758750565217
0,1201,800000.0,9917.05,2003.0,9.0,0.0,Station Wagones,4169.0,NISSAN,Private,145476.04,364,11.887773552454561
1,1202,400000.0,7678.44,2007.0,2.0,35.0,Truck,4334.0,ISUZU,Own Goods,1775.0,365,7.4821189235521155
0,1201,500000.0,7128.25,2003.0,7.0,0.0,Station Wagones,4164.0,TOYOTA,Private,75390.0,364,11.230443183476446
0,1201,1300000.0,14610.55,2002.0,6.0,0.0,Automobile,2694.0,TOYOTA,Private,158440.0,364,11.973137563253426
0,1201,1300000.0,15374.95,2002.0,6.0,0.0,Automobile,2694.0,TOYOTA,Private,76148.4,364,11.24045247910645
0,1201,800000.0,9805.95,2002.0,6.0,0.0,Automobile,2694.0,TOYOTA,Private,36300.0,365,10.499600568082863
1,1201,290000.0,3599.0,2007.0,6.0,0.0,Automobile,1590.0,DACIA,Private,8050.0,364,8.993551586299981
0,1201,203000.0,2926.93,2001.0,4.0,0.0,Automobile,1299.0,MITSUBISHI,Private,13750.0,364,9.528866827722945
0,1201,1200000.0,14385.45,2002.0,8.0,0.0,Station Wagones,4164.0,TOYOTA,Private,7500.0,365,8.922791623969637
0,1202,380000.0,4987.63,2000.0,4.0,7.0,Pick-up,2499.0,ISUZU,Own Goods,6325.0,364,8.752423403865594
0,1202,380000.0,4987.63,2000.0,4.0,7.0,Pick-up,2499.0,ISUZU,Own Goods,218346.2,365,12.293841735382895
0,1202,450000.0,5773.45,2007.0,4.0,6.0,Pick-up,3153.0,NISSAN,Own Goods,254678.72,365,12.447762034711479
0,1202,300000.0,4089.55,2001.0,4.0,7.0,Pick-up,2499.0,ISUZU,Own Goods,8547.0,365,9.053452616439039
0,1202,380000.0,4987.63,2000.0,4.0,7.0,Pick-up,2499.0,ISUZU,Own Goods,17400.0,365,9.76428295481558
0,1202,265000.0,4026.83,2000.0,4.0,7.0,Pick-up,2499.0,ISUZU,Own Goods,68425.0,364,11.133508148343557
0,1202,1200670.0,19692.76,2005.0,4.0,7.0,Pick-up,2500.0,BISHOFTU,Own Goods,114114.36,364,11.644965145545353
0,1201,830450.0,10169.78,2006.0,6.0,0.0,Station Wagones,3828.0,MITSUBISHI,Private,18000.0,365,9.798182590890704
0,1201,564226.0,7248.25,2003.0,8.0,0.0,Station Wagones,4169.0,NISSAN,Private,103970.43,365,11.55187142884492
0,1202,500000.0,5212.15,2007.0,4.0,7.0,Pick-up,3153.0,NISSAN,Own Goods,26000.0,364,10.165890277802454
0,1202,468530.0,5983.34,2007.0,4.0,7.0,Pick-up,3153.0,NISSAN,Own Goods,51095.0,364,10.841461495241425
0,1202,500000.0,7636.45,2007.0,4.0,7.0,Pick-up,3153.0,NISSAN,Own Goods,24500.0,364,10.106469212026385
0,1202,500000.0,5212.15,2007.0,4.0,7.0,Pick-up,3153.0,NISSAN,Own Goods,240529.39,364,12.390601722291342
0,1202,468530.0,5993.34,2007.0,4.0,7.0,Pick-up,3153.0,NISSAN,Own Goods,78425.44,364,11.26991639438218
0,1201,1450000.0,13059.23,2005.0,7.0,0.0,Automobile,4164.0,TOYOTA,Private,2369.66,365,7.7709236763731955
0,1201,1500000.0,13037.42,2006.0,9.0,0.0,Station Wagones,4164.0,TOYOTA,Private,50148.0,365,10.822753853011813
0,1201,1500000.0,11173.28,2006.0,9.0,0.0,Station Wagones,4164.0,TOYOTA,Private,29548.04,364,10.293806534996875
0,1201,214174.0,3319.23,2006.0,4.0,0.0,Automobile,1328.0,SUZUKI,Private,74699.99,364,11.221248624045137
0,1202,246340.0,4639.57,2005.0,11.0,0.0,Bus,2953.0,NISSAN,Own service,6900.0,364,8.839421607620602
0,1202,246340.0,3863.29,2005.0,11.0,0.0,Bus,2953.0,NISSAN,Own service,3680.0,365,8.210939733379021
0,1201,500000.0,6527.25,2000.0,8.0,0.0,Station Wagones,4164.0,TOYOTA,Private,10350.0,364,9.24483841238375
0,1201,179892.0,2108.59,2001.0,4.0,0.0,Automobile,1299.0,MITSUBISHI,Private,43746.0,364,10.68617831800606
0,1201,246232.22,3422.57,2000.0,4.0,0.0,Automobile,1597.0,MITSUBISHI,Private,20700.0,364,9.937937287265354
0,1201,267975.0,3468.7,2006.0,4.0,0.0,Automobile,1299.0,TOYOTA,Private,162930.0,364,12.001082077283272
0,1201,267975.0,4180.92,2006.0,4.0,0.0,Automobile,1299.0,TOYOTA,Private,12700.0,364,9.44943600950432
0,1201,267975.0,3959.36,2006.0,4.0,0.0,Automobile,1299.0,TOYOTA,Private,27600.0,364,10.225607282932941
0,1201,267975.0,3299.27,2006.0,4.0,0.0,Automobile,1299.0,TOYOTA,Private,13455.0,364,9.507180382212729
0,1201,1200000.0,9588.78,2003.0,4.0,0.0,Station Wagones,4164.0,TOYOTA,Private,15525.0,364,9.650271316965625
0,1201,556645.0,7165.37,2005.0,8.0,0.0,Station Wagones,4164.0,TOYOTA,Private,23000.0,364,10.043292972227004
0,1201,1150000.0,13736.15,2003.0,4.0,0.0,Station Wagones,4164.0,TOYOTA,Private,98250.0,365,11.49528070779676
0,1202,300000.0,3342.26,2001.0,4.0,7.0,Pick-up,1998.0,TOYOTA,Own Goods,183481.9,364,12.11987675412359
0,1202,400000.0,5445.5,2002.0,4.0,7.7,Pick-up,1997.0,MITSUBISHI,Own Goods,14087.5,364,9.553114140744427
0,1202,318645.0,2561.55,2002.0,4.0,7.7,Pick-up,1997.0,MITSUBISHI,Own Goods,121194.5,365,11.705160223215191
0,1202,514862.5,4351.18,2007.0,4.0,6.0,Pick-up,3153.0,NISSAN,Own Goods,25202.4,364,10.134734185033466
0,1201,2098496.0,24449.97,2009.0,7.0,0.0,Station Wagones,4461.0,TOYOTA,Private,34884.11,364,10.459815369586082
0,1201,450000.0,4413.74,2006.0,4.0,0.0,Station Wagones,2184.0,NISSAN,Private,36460.49,365,10.50401191410087
0,1202,250000.0,4030.95,2003.0,10.0,0.0,Bus,1998.0,TOYOTA,Own service,42500.0,364,10.657282884047461
0,1202,914000.0,15729.34,2003.0,8.0,0.0,Special construction,4164.0,INTERNATIONAL USE,Own service,54212.4,365,10.90068338934315
0,1202,250000.0,3986.95,2002.0,8.0,5.0,Bus,1998.0,TOYOTA,Own service,96687.5,364,11.479249749860516
0,1202,250000.0,3986.95,2002.0,8.0,5.0,Bus,1998.0,TOYOTA,Own service,6800.0,365,8.824824939175638
0,1202,455000.0,6376.28,2002.0,12.0,12.0,Bus,1998.0,TOYOTA,Own service,24987.85,364,10.126185004362755
0,1202,750000.0,7849.49,2002.0,4.0,5.2,Pick-up,2779.0,TOYOTA,Own Goods,220027.2,364,12.301510998938094
0,1202,750000.0,9141.25,2002.0,4.0,7.0,Pick-up,2779.0,TOYOTA,Own Goods,18400.0,364,9.820160289946374
0,1202,650000.0,8018.65,2002.0,4.0,7.0,Pick-up,2779.0,TOYOTA,Own Goods,9775.0,365,9.187685681411377
